id_publicacao,Duração,Visualizações,Tempo de exibição (horas),Taxa de cliques de impressões (%),Continuaram assistindo (%),Inscritos,sucesso
Quero saber - Existem evidências científicas sobre a eficácia das PICs incluídas no SUS?,328.0,148,5.968,6.06,,2,0
74ª Reunião Ordinária do CoAd,2641.0,51,5.9672,2.29,,0,0
Cerimônia de entrega do título de Doutor Honoris Causa a Raduan Nassar,6767.0,43,5.9407,5.32,,0,0
UFSCar adota CadÚnico para comprovação de renda para o SiSU,90.0,416,5.905,6.27,100.0,1,0
UFSCar recebe novos estudantes,207.0,226,5.8523,6.72,,2,0
Boletim de Oportunidades - Oportunidades em Um Minuto #6,102.0,837,5.7923,1.38,,5,0
Como enviar sua sugestão de pauta para os produtos de comunicação da UFSCar?,205.0,354,5.7879,1.44,,3,0
Quero saber - Halloween ou Dia do Saci?,962.0,115,5.6943,6.15,,1,0
Conservação e uso sustentável da água,5544.0,38,5.5674,5.68,,0,0
#2 - Estudo analisa o impacto do fogo nos diferentes ecossistemas brasileiros,1447.0,54,5.4239,6.96,,1,0
Programa de Assistência Estudantil da UFSCar: o processo de ingresso e as perspectivas futuras,5411.0,47,5.3992,9.91,,1,0
Estudo de implantação do novo campus da UFSCar é processo coletivo,261.0,186,5.3878,2.65,,4,0
271ª Reunião Ordinária do ConsUni | UFSCar,11785.0,96,5.371,8.75,,0,0
Idiomas Sem Fronteiras oferece cursos online para comunidade da UFSCar,354.0,157,5.3126,4.31,,0,0
159ª Reunião Ordinária do Conselho de Extensão,4762.0,46,5.2108,0.96,,1,0
Feira do Livro EdUFSCar - Bate-papo com Gabriel Feltran,3721.0,31,4.9461,3.02,,1,0
Você sabia que pode usar a sua nota do Enem para cursar uma universidade federal?,60.0,686,4.9206,3.75,60.88,10,0
2ª Sessão da 117ª Reunião CoG,4180.0,27,4.9174,2.0,,-1,0
"Quero saber - E, como cuidar da nossa saúde?",185.0,338,4.8494,0.0,,3,0
157ª Reunião Ordinária do Conselho de Extensão (CoEx) da UFSCa,3062.0,62,4.8051,3.27,,1,0
Quero saber - Desenvolvimento sustentável: solução ou falácia? (Série Clima – Episódio 2),1204.0,67,4.6157,2.15,,1,0
Monitoramento da biodiversidade na Amazônia reúne cientistas e população que vive da Floresta,477.0,123,4.5172,0.64,,2,0
Quero saber - Quais os efeitos da transfobia na vida das pessoas e na sociedade?,254.0,150,4.2771,2.47,,0,0
149ª Reunião Ordinária do Conselho de Pós-Graduação | CoPG - UFSCar,9568.0,8,4.1685,0.0,,0,0
O papel das universidades na construção da saúde mental universitária e no fortalecimento da RAPS,8168.0,34,4.0766,8.53,,0,0
Presença indígena na UFSCar: 15 anos de história,681.0,86,4.0367,2.95,,1,0
Conselhos Superiores - Constituição das urnas,2746.0,62,3.8953,1.13,,0,0
Restaurante Universitário do Campus São Carlos está com novo visual,158.0,204,3.5093,7.1,,2,0
155ª Reunião Extraordinária do Conselho de Extensão,8894.0,38,3.4905,1.49,,0,0
UFSCar conta Sua historia - Cláudia de Moraes Barros Ramalho,1469.0,97,3.4742,1.29,,1,0
EMBRAPII E INOVAÇÃO NA UFSCar: O que é? Como fazer?,388.0,74,3.4645,3.08,,1,0
Quero saber – O que é voyeurismo e o que isso tem a ver com reality shows?,822.0,79,3.4644,2.27,,1,0
Quero saber – Idade é documento?,60.0,490,3.4129,1.03,59.32,6,0
Idiomas sem Fronteiras - Inglês,246.0,152,3.3593,6.3,,0,0
Quero saber - Linguagem neutra é luta por direitos ou ataque à Língua Portuguesa?,60.0,305,3.3071,2.04,69.3,0,0
Quero saber - Como ser feliz no momento presente?,182.0,168,3.2517,1.92,,1,0
Quero saber - Por que e como publicar um livro científico por uma editora internacional?,817.0,66,3.224,2.95,,1,0
SiSU/2021 -Tirando Dúvidas,5608.0,8,3.2087,2.42,,0,0
Biblioteca infantil na BCo UFSCar,58.0,397,3.1865,2.5,60.7,2,0
Boletim de Oportunidades - Oportunidades em Um Minuto #4,120.0,275,3.1608,1.37,,2,0
"Conexão Federal: Mulheres da família Prestes, com Anita Prestes",60.0,213,3.0963,2.23,78.02,0,0
10 anos do Campus Lagoa do Sino,192.0,106,3.0828,40.82,,2,0
Na Pauta #55,3262.0,69,3.0469,3.92,,1,0
160ª Reunião Ordinária do CoEx,4011.0,48,2.9966,1.47,,0,0
"Quero Saber: Afinal, é possível alcançar um equilíbrio entre desenvolvimento e sustentabilidade?",457.0,98,2.9218,2.79,,0,0
Herbicida sustentável: UFSCar pesquisa alternativa ecológica para o controle de plantas invasoras,286.0,94,2.9108,2.1,,1,0
UFSCar na Área,1337.0,79,2.874,2.31,,0,0
Hino Nacional Libras,303.0,97,2.8712,3.12,,2,0
Cerimônia de Posse: Nova Equipe de Gestão UFSCar,8809.0,39,2.8703,17.05,,0,0
