Conteúdo,Título do vídeo,Horário de publicação do vídeo,Duração,Visualizações intencionais,Duração média da visualização,Continuaram assistindo (%),Média de visualizações por espectador,Novos espectadores,Espectadores recorrentes,Visualizações,Tempo de exibição (horas),Inscritos,Impressões,Taxa de cliques de impressões (%)
mS463ZW7s1g,75º Reunião Ordinária do Conselho de Assuntos Comunitários e Estudantis | CoACE  UFSCar,"Feb 27, 2024",9880,21,0:04:36,,,,,21,1.611,0,197,6.6
OexCBv1HgYg,Feira do Livro EdUFSCar - Bate-papo com Aline Bei,"Oct 8, 2021",3695,10,0:09:20,,,,,10,1.5567,0,121,5.79
GyggyD7TgN0,Idiomas sem Fronteiras - Espanhol,"Apr 5, 2023",164,73,0:01:16,,,,,73,1.5562,0,227,4.41
6llHCoIUJ24,Quero saber - Fitoterápicos funcionam? Quais são vantagens e desvantagens?,"Nov 13, 2023",304,42,0:02:13,,,,,42,1.5518,0,196,4.08
wXqHnrntl0o,HU-UFSCar inaugura 29 leitos de enfermaria e dez de UTI Pediátrica,"May 30, 2023",269,52,0:01:44,,,,,52,1.5116,1,284,4.23
pHoKByFDudw,Quero saber - O que é e como prevenir a Doença Pulmonar Obstrutiva Crônica?,"Nov 20, 2023",60,132,0:00:40,62.5,,,,148,1.4819,1,2837,1.13
9-4B9cwBgLU,Quero saber - Esportes Paralímpicos,"Sep 25, 2023",60,177,0:00:29,44.17,,,,225,1.4668,0,8141,1.07
RqM5TiuJIC8,Boletim de Oportunidades - Edital ProEx de Atividades Culturais 2025,"Dec 17, 2024",102,116,0:00:44,27.65,,,,125,1.4512,0,2361,1.44
8xpc5cVrJxM,EdUFSCar No Ar #10,"Jun 7, 2022",3851,9,0:09:32,,,,,9,1.4316,0,99,4.04
GUkVch71ko0,Capacitismo não cabe na UFSCar,"Dec 20, 2023",128,78,0:01:05,,,,,78,1.4272,2,1728,2.14
gKUx-8RwiHM,Quero saber - Quem decide qual paciente recebe um coração disponível para transplante?,"Sep 4, 2023",723,29,0:02:52,,,,,29,1.3907,0,549,2.73
AtXzDJkx1vY,Depoimento Nicholas Baladore - Transformação,"Jul 31, 2023",337,44,0:01:52,,,,,44,1.3761,0,221,4.98
xM3YRiuAc-M,"Conexão Federal: Internacionalização, com Márcio Weber Paixão","Jan 29, 2024",3497,32,0:02:34,,,,,32,1.3726,0,445,0.9
gQpO9oqq9AM,"Aula Magna ""Ciência, Sonho e Construção de Futuro""","Jun 2, 2022",4457,15,0:05:20,,,,,15,1.3353,0,376,2.13
1Qb4rok_G1I,#9 DIA INTERNACIONAL DAS MULHERES E MENINAS NA CIÊNCIA   ELISHA SILVA DE JESUS,"Feb 11, 2022",1602,28,0:02:51,,,,,28,1.3328,0,68,7.35
_G-bzv6vny0,"Trilhas da Inovação - Ep.3 – Relatório, COEPI e INPI","Oct 11, 2023",344,33,0:02:23,,,,,33,1.3155,1,473,4.65
Uz_FgsWEtlA,"UFSCar cria variedades de alimentos e plantas, no campus Araras","Jun 6, 2023",387,36,0:02:10,,,,,36,1.3028,1,679,1.77
i13nCOnA1KM,Quero saber - O que é e como prevenir a Doença Pulmonar Obstrutiva Crônica?,"Nov 20, 2023",556,25,0:03:05,,,,,25,1.2914,1,683,2.05
C8NJv-nM7ms,Boletim de Oportunidades - Fábrica de Ideias,"Oct 23, 2024",69,139,0:00:33,61.11,,,,140,1.291,2,1767,1.13
